551 13 13180 
21335 17 27998 
19841 1 32349 
1081 14 29871 
17996 7 32532 
29077 9 10655 
24654 2 15915 
8058 9 3577 
21117 2 6111 
21041 2 57 
22538 12 25077 
33536 2 1851 
32397 4 37120 
6337 4 10165 
10039 1 19002 
12429 2 5209 
30830 4 31173 
37816 2 7558 
12238 1 38575 
6662 12 14653 
7636 2 24039 
27037 2 11658 
3178 1 34171 
6999 1 18094 
27606 3 12312 
2081 1 7322 
1724 1 24424 
10778 1 37077 
17215 4 13256 
17902 4 18976 
18602 4 5758 
40320 6 11652 
16314 2 932 
300 1 12121 
35646 5 222 
3436 1 35395 
25234 2 2057 
1444 1 15204 
21259 4 3535 
18163 2 5620 
34950 4 15574 
932 1 1286 
13869 1 36543 
30235 2 9910 
36097 2 6625 
3658 1 116 
15965 2 5516 
39283 2 16120 
19262 2 19261 
32050 16 5186 
26346 2 15626 
14046 11 215 
8449 4 623 
34778 9 14071 
1958 12 12670 
38740 3 4203 
37115 9 19224 
31908 1 13672 
8666 3 8665 
19591 4 16849 
4825 1 18504 
17338 2 1056 
15595 4 6469 
22059 4 4278 
34481 3 14478 
11565 2 5031 
36154 2 9191 
26532 2 78 
8810 7 20886 
6999 1 35683 
19577 2 5877 
4716 1 40693 
300 1 20287 
21297 2 27103 
37050 9 501 
13035 2 11461 
17117 4 16104 
22442 2 17861 
15145 1 18681 
19263 2 13377 
5086 4 984 
37088 4 36982 
8922 2 15673 
16500 7 17926 
14557 2 1278 
9669 7 2501 
11485 7 977 
2296 1 5576 
20467 2 5765 
16618 2 7248 
3079 1 18682 
40264 2 27057 
32739 2 21592 
23183 2 4944 
28105 2 22524 
14293 3 32991 
25356 3 4192 
21214 16 1081 
491 12 27413 
1602 1 27649 
19324 4 9209 
40227 3 29525 
38154 2 724 
5984 1 7431 
3526 1 11553 
2621 1 23724 
5466 1 37300 
6622 4 257 
31091 2 40494 
40640 2 2744 
9642 4 10131 
38498 3 30472 
6112 4 13330 
12756 4 14901 
16400 3 7648 
16194 1 715 
13 1 18821 
29997 2 2107 
3721 2 139 
36498 9 30369 
722 2 4626 
7423 4 14447 
455 12 39401 
757 1 32297 
20399 4 543 
20000 11 3160 
2998 1 1969 
10773 4 31379 
22667 2 16045 
25348 9 17474 
23135 2 395 
37791 2 1526 
2744 1 8766 
11672 2 7019 
12139 5 1460 
27499 3 27566 
21463 4 8625 
34974 1 12979 
31805 11 215 
5154 4 12570 
16210 4 15342 
25802 9 4696 
4443 2 18764 
35235 3 28506 
8997 1 30352 
18602 2 2548 
15044 7 33688 
16174 5 9102 
443 12 39336 
31477 6 15910 
88 1 39853 
10525 3 8984 
9911 16 1081 
9376 1 2512 
20608 4 20607 
3379 7 2505 
7464 4 22902 
22268 2 6785 
14501 4 14500 
32398 4 20755 
17396 1 17022 
2754 4 2753 
30480 2 12698 
32369 4 36659 
19020 1 31608 
313 1 16560 
7010 4 35272 
22931 3 8528 
1056 1 36340 
36595 12 3548 
118 17 710 
13000 4 30287 
2701 2 2700 
17840 9 332 
1381 14 10133 
29831 2 409 
26309 4 33650 
123 1 12864 
35382 2 8721 
16321 2 16320 
39629 3 3665 
7048 1 34062 
29463 2 757 
16015 4 5132 
11990 5 22197 
10416 4 8272 
33539 1 3199 
35743 2 8339 
16351 1 27478 
10456 3 5891 
7436 1 19062 
31379 1 32508 
39837 2 11959 
16136 3 19547 
7132 4 7131 
18856 5 436 
20159 2 22031 
18482 2 26037 
4384 1 9793 
21251 1 31917 
167 1 11710 
20307 5 205 
13929 3 3900 
2486 1 15803 
33764 4 38195 
10942 4 8113 
8627 1 28759 
37971 3 3312 
4737 4 24853 
34977 4 31965 
6723 2 966 
7636 1 34174 
40249 2 8681 
4210 2 1493 
14804 3 14803 
19413 4 10347 
26437 2 39 
31309 2 23438 
670 1 36456 
1575 4 14318 
5165 2 5164 
21301 4 18102 
72 1 7369 
22420 7 31661 
36454 4 35403 
1019 1 2898 
1531 2 1530 
551 13 31529 
15135 4 22829 
21539 2 29407 
3476 1 11849 
11292 4 7580 
26072 2 26071 
19304 2 17851 
37553 2 434 
35769 2 11162 
29948 2 4404 
6012 1 40154 
12095 9 2830 
28891 2 181 
5244 4 16984 
34407 3 13437 
6637 2 10457 
12569 1 11351 
1605 7 11495 
14746 7 11680 
31890 11 2084 
9104 1 663 
3022 1 29119 
35323 2 857 
25745 2 15915 
1081 13 16561 
23835 2 10604 
